,tweets
16,@FxxkingEx @niaharve Inilah pentingnya meningkatkan income sebelum investasi. Kalau invest 60jt dengan return 10% aja cuma balik 6jt.
17,"Program Investasi Syariah Indonesia,follow InvesJamurJabon ada Program Investasi Properti di 2015, sangat menarik, follow ya..!"
18,"Investasi Bitcoin adalah salah satu investasi high return yang tengah populer beberapa tahun belakangan ini. Namun, sebagaimana jenis investasi lainnya, high return tentu diikuti oleh high risk. https://t.co/6rnysqKKDO"
19,"Dulu kalo ngobrol ghibah, hal random, dan nyerempet2. Skrg topiknya gak jauh dari harga cicilan rumah, parenting, nabung serta investasi namun tida bodong.
Makes me realize that life is getting real...
Merindukan masa2 ngampus-nongkrong-nyeries. Rindu doang gak mau balik lg tapi"
20,"@taufiqtpi @MAJALAH_GATRA kenapa harus selalu pemerintah yg disalahkan @MAJALAH_GATRA???

kan dulu sudah diingatkan sama pak Mentri.

tingkatkan kewaspadaan (mulai dari awal proses investasi)
jangan mudah diiming-imingi oleh sesuatu yg tak masuk akal.
#sorgaItuBaruSebatasImaginasi @RefublikAteis 😁✌️"
21,"Kalau mau hidup, ya BEKERJA
Kalau mau makan, ya BEKERJA
Kalau mau kaya, ya...............

Yaaa.....

Yaaa....""INVESTASI"" 🤣🤣

BerINVESTASIlah, berINVESTASIlah

Biar hidupmu KAYA

Kaya monyet
🤣🤣🤣🤣🤣😂"
22,"@irsyada_nabila @Endriyw uangnya dipake buat investasi bodong jg, cuma bukan yg kaya ust yusuf ini, jd kek bayar ke mbah ntah mbah saha, trs ntar bakal balik duitnya besar, katanya. smoga org2 kaya gt dapet karmanya"
23,"Semua orang perlu berinvestasi demi masa depan yang lebih baik. Mulai investasi reksadana dengan Bibit dan dapatkan cashback Rp25.000 setelah mendaftar dengan memasukkan kode referral Bibit: investnow

Download sekarang: https://t.co/tuuiKVMuet
02314
https://t.co/tD2zEee7n2"
24,"Investasi karena takut miskin tidak akan pernah membuat kamu menjadi kaya.  

Jika hendak bersedekah, utamakan dahulu kepada keluarga yang membutuhkan. 

Bersedakah jangan karena  rasa kasihan, tetapi untuk memenuhi perintah Allah
#ramadan"
25,"Temen deket suami, ngajakin investasi pembelian elektronik buat sebuah PT. Berhubung gue pernah baca kasus penipuan yg sama persis kedoknya, akhirnya gue cerita ke suami dan ga mau invest tuh. Temen yg lain ikut invest dan beneran balik uangnya plus untung."
26,@obith19 HAHAHAHA berasa investasi bodong ya sis
27,"@worksfess Kumpulin tabungan sampe nominalnya sebesar 3x - 6x gaji.
Kl udh sampe angka itu baru pecah alokasi nabung dr gaji ke investasi risk kecil 50% (reksadana &amp; deposito) risk menengah 50% (saham, obligasi dll)"
28,"Investasi terbaik ya kerja keras buat beli tanah atau sawah ntar kalo udh keluar dari tempat kerjaan bisa mengolah sawah dan lahan.  
Sawah atau lahan setiap tahun pasti naik kan harganya 😅😁"
29,"@MAJALAH_GATRA Pernah nih naik gunung dan ada temen dr jkt yang punya kebiasaan membaca, bagus sih, tapi ketika tau bukunya bergamba beliau, beuh kyk ngerasa buat apa coba? Orang beli bukunya krn teriming2 surga dari investasi dan sedekah ala2 paykreta aja udah aneh 🤷‍♂️"
30,Pak @ListyoSigitP tolong agar bapak turun tangan langsung. Ratusan ribu orang jadi korban ybs dgn pola2 yg dia buat. Banyak sekali kesaksian dan dokumen sbg bukti. Konon ada yg sdh lapor polisi tapi masih blum d tindak lanjuti. Kasus investasi batubara dg korban banyak https://t.co/CIUaUsjuQQ
31,"Investasi Martabak AISHA Legit mulai dari 5 Juta bg hsl 100rb/bln. Bandingkan jika anda nyimpan uang di Bank, kena ADM, Inflasi dll, Untung?"
32,@setiahasanah_ @RestyCaayah @Yusuf_Mansur Ada namanya Tante Usi... kebetulan dia sewa rumah ditempat ortu aku di Manado tergoda utk investasi ..invest 4jt selama 3bln akan jadi 10 juta.tante Usi ini pedagang nasi kuning...jd dia pinjam uang sampe puluhan juta dan invest ke produk dari si ucup ngga taunya  1
33,"@convomf Nanti kalo aku punya anak, aku ga jadiin anak sbg investasi, karena anak itu titipan. Aku pengen memfasilitasi pendidikan yg baik buat anak, gamau nuntut anak buat dapet nilai baik dan ga selalu tentang akademik aja. Aku pengen dukung hobi anak, nempatin anak di lingkungan sehat."
34,"Agak khawatir konsep sedekah disamain kayak investasi bodong, doa disamain kayak manta sihir yang pasti terjadi gtu, padahal semua tergantung kehendak nya. https://t.co/92TovReLsU"
35,"Pemerintah terus memantau industri layanan keuangan berbasis digital (fintech) , dan @kemkominfo sudah memblokir 3.216 konten investasi ilegal , termasuk binary option. 

@PlateJohnny

https://t.co/VYxvxmHAKx"
36,@MAJALAH_GATRA Masalah di bisnis rata rata about investasi
37,"Persiapkan dana darurat untuk kejadian tak terduga. Mulai investasi reksadana dengan Bibit dan dapatkan cashback Rp25.000 setelah mendaftar dengan memasukkan kode referral Bibit: investnow

Download sekarang: https://t.co/tuuiKVMuet
88679
https://t.co/tD2zEee7n2"
38,2022 temanya pembredelan investasi bodong
39,"@MAJALAH_GATRA Si ustad ini setelah bisnis investasi malah makin naik berat badannya ya... Sampek pipi-pipinya keluar, bukannya makin stress mikirin uang yang di titip orang-orang ke dia."
40,Menko Kemaritiman dan Investasi Luhut Binsar Pandjaitan juga sempat bertukar posisi dengan Menko Polhukam Mahfud Md di G2O. https://t.co/KFZlGq7zHG
41,"Rasul aja dagang barang sampai ke Syam, Yaman, Palestin. Hartanya bener hasil dari dagang barang. Rasul itu dakwah mengajak ke sabili robbi bukan ngajak Investasi apalagi Paytren. Jadi Yusuf Mansur ini ikut Sunnah Rasul yang mana? https://t.co/RnwBmI4taL"
42,"Klo mnrt s aku emg ust ym konsepnya “investasi berkedok sedekah” beliau ngajak invest ke jamaah yg memang udh “didakwahi” konsep sedekah, trs nanya tuh ke jamaah, “bapa punya uang 10jt ? Klo disedekahkan bkl berlipat jadi 100jt” dan salah satu jamaah itu ngasih ke ust YM wkwkkwkw"
43,Siapa saja artis yang akan diperiksa terkait dugaan penipuan investasi melalui aplikasi robot trading DNA Pro.? https://t.co/A9coCkj54X
44,Yang terpenting adalah selalu diversifikasi di setiap investasi. https://t.co/NAGMZUuZd6
45,"@Kita_AMLTF PPATK menemukan aliran dana Pencucian uang hasil investasi bodong, selain itu para pelaku kerap membeli barang2 mewah sehingga mereka terutama orang nomor 1 Binomo layak diganjar UU TPPU https://t.co/9K83SEczWt"
46,"@Tonwart2 @Helmi_Felis Hallah kok sewot..

Ada yg ngejer2 ngemis2 investasi juga kok ke kadroon..

Hidup kadroon 💪🏼

🤪🤪"
47,"@selendiipity investasi bgt, menghasilkan aset negara"
48,@Msbrow8 Bnyak alasan kemarin katanya dengan disahkan UU Omnibus law akan mendatangkan investasi mana yg datang malah UUnya cacat hukum bnyak alasan yg tidak jelas INTINYA investor sudah tidak percaya atau ragu dengan Rezim sekarang...
49,@maharanikputri oooo masa bener yg rugi investasi tu? aku kira hoax ci wkwkwk
50,"Capaian investasi pada 2021 di kuartal empat sebesar Rp 901,02 triliun #NKRIPastiPulih https://t.co/qZKGBX0DFe"
51,"Sudah mencapai Ribuan orang yang melaporkan kerugian akibat investasi macet UYM,tapi Pemerintah seolah melakukan Pembiaran.

#NegaraAsalKelola 
#NegaraAsalKelola https://t.co/oSzI3U8M9T"
52,"Ayo berinvestasi sekarang juga untuk masa depan sejahtera. Mulai investasi reksadana dengan Bibit dan dapatkan cashback Rp25.000 setelah mendaftar dengan memasukkan kode referral Bibit: investnow

Download sekarang: https://t.co/tuuiKVMuet
24756
https://t.co/FsWOwLivhr"
53,@budjanglaper @M_IrvanHN @TxtfromDjancuk @di_kpras @adillahendi @knupisback @EisforEby @Conspirare_JKT @bola_abis Paling bener investasi kebaikan... Jelas hasilnya.
54,Sedekah bukan untuk Investasi apalagi berharap Kembali...  🤨😶 ...kalo investasi ya cobain Crypto biar ketipu lagi 🤣 https://t.co/IjeWKI4b34
55,sepertinya investasi paling aman dan terjamin di masa depan sejauh ini cuma pahala
56,"@Conspirare_JKT @bola_abis Investasi paling aman ya sedekah, Infaq.. disini kau susah ""disana"" kau hidup mewah, percayalah..
Kalau tak bisa juga, ikut kan saja ke dalam tanah.."
57,"Investasi Syariah https://t.co/UEjMnaE97j, more info /SMS/WA: 0812-2269-0766 | #InvestasiSyariah"
58,apa investasi bodong
59,@NdrewsTjan 😀😃😆😅😅kaya krn fosil mah akan cpt bangkrut😀😃😅😅kaya tp kl kgk bs dikelola dgn baik percuma aje.apalagi kl kaya cm hsl dr migas yg bs hbs kapan aje.mknye neg2 yg sdkt pinter udh mulai narik investor utk investasi ke neg mrk krn mrk th migas akan hbs walau bkn bsk hbsnye
60,"Ada sebagian orang yang berpikir harus punya uang banyak dulu baru buka usaha atau investasi.

dan ada sebagian pula yamg berpikir sebaliknya, dari sesuatu yang belum ia miliki hingga memiliki segala hal.

""form nothing to something"""
61,"Diduga menerima dana dari sosok di balik investasi bdong DNA Pro, Rizky Billar diperiksa pihak berwajib.

https://t.co/LUGVkBrz1a"
62,Mau investasi yang pasti2 dan aman? Salah satunya adalah ORI alias Obligasi Ritel Indonesia https://t.co/FGLKeZwrAJ
63,Investasi dalam pengetahuan akan membawa bunga yang baik ##waralaba #franchisemurah #bisnis #franchise
64,"@MAJALAH_GATRA Ketika janji,investasi wan prestasi tidak ditunaikan maka sudah paati akan digugat oleh yg invest,maka hukumlah yg mesti menuntaskannya. Jalan terbaik ya ustadz YM kembalikan dana umat, dan bayarkan hak mereka,jadilah amanah sebagaimana cermah2 ustadz"
65,"@El_chan_desu Ndak tau gw juga, coba cari keyword

Yusuf Mansur
Paytren
Investasi

Mungkin ini bisa jdi salah satu refrensi

https://t.co/TQsHSGNsSu"
66,"@KaredokLeunca__ @Karinawung @ListyoSigitP Klo yg ke gitukn gx d duitnya mak ~ mkanya gx d urusin... klo ke investasi bodong,,,mafia migor,,, artis.... Duitnya bnyak,,,, jdi gercep ngurusin nya...."
67,"@pengarang_sajak klu mereka bangun atau investasi di negara kita,mau ajak perang kita rugi,toh yg di hancurkan invest dr mereka"
68,"Investasi sesegera mungkin, sejahtera sesegera mungkin. Mulai investasi reksadana dengan Bibit dan dapatkan cashback Rp25.000 setelah mendaftar dengan memasukkan kode referral Bibit: investnow

Download sekarang: https://t.co/tuuiKVMuet
42215
https://t.co/FsWOwLivhr"
69,"Bursa Wall Street Akhir Pekan: Dow Jones Naik, S&amp;P 500 dan Nasdaq Memerah https://t.co/a9d2ovMytp #WallStreet"
70,"Airlangga menambahkan, kredibilitas Indonesia di mata investor pada 2021 semakin membaik. Hal ini terlihat dari peningkatan realisasi investasi kuartal empat tahun 2021 sebesar 15,2 persen (yoy). #NKRIPastiPulih https://t.co/YdDsXbEprt"
71,"campus! sender baru mau tidur abis ngerjain laprak 😫

✄・・・
🧐 Trivia: Upaya berkembangnya kapitalisme di Indonesia dihambat Ir. Soekarno dengan kebijakan menolak masuknya investasi asing ke Indonesia."
72,"Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menyampaikan, BUMN siap menjalankan misi perdagangan dan investasi di Papua Nugini. 

@erickthohir 
#ErickThohirSolusiRakyat https://t.co/ZXtH3i5JVP"
73,@MAJALAH_GATRA yang aslinya investasi bodng gak d urus
74,"Capaian investasi pada 2021 di kuartal empat sebesar Rp 901,02 triliun #NKRIPastiPulih
#oajsn https://t.co/FDa2JgXksT"
75,@MAJALAH_GATRA mahaguru investasi ber-embel religi
76,"Manifestasi rasa ke org yg tidak tepat, jadinya investasi bodong 🙄"
77,melalui pemberian fasilitas promosi perdagangan dan investasi #NKRIPastiPulih https://t.co/QNifO434xO
78,"Tak hanya itu, realisasi investasi di kuartal IV/2021 mencapai Rp241,6 triliun atau tumbuh 15,2 persen secara tahunan (year-on-year/yoy). #NKRIPastiPulih https://t.co/1Rak051U1A"
79,"Capaian investasi pada 2021 di kuartal empat sebesar Rp 901,02 triliun #NKRIPastiPulih https://t.co/BnRQ1oHxZR"
80,Pemerintah terus mendorong berbagai insentif yang meningkatkan utilisasi industri dan mendorong perbaikan iklim usaha industri dalam negeri untuk terus meningkatkan investasi dan penyerapan tenaga kerja. #NKRIPastiPulih https://t.co/sSaeq7zFWL
81,"Hal ini terlihat dari peningkatan realisasi investasi kuartal empat tahun 2021 sebesar 15,2 persen (yoy). #NKRIPastiPulih https://t.co/Pzv7mFE55m"
82,"Disamping meningkatkan daya saing, pemerintah juga berupaya meningkatkan ekspor komoditas global melalui pemberian fasilitas promosi perdagangan dan investasi #NKRIPastiPulih https://t.co/IXvO83qgzi"
83,melalui pemberian fasilitas promosi perdagangan dan investasi #NKRIPastiPulih https://t.co/ZAhY6v76VK
84,"Bahkan, realisasi ini melampaui target investasi Badan Koordinasi Penanaman Modal sebesar Rp858,5 triliun #NKRIPastiPulih https://t.co/L2pNxnrk6s"
85,"kredibilitas Indonesia di mata investor pada 2021 semakin membaik, hal ini terlihat dari peningkatan realisasi investasi kuartal empat tahun 2021 sebesar 15,2 persen (yoy). #NKRIPastiPulih https://t.co/AqVtp6V99C"
86,"Jiro menuturkan, pengeluaran rumah tangga dan investasi di Indonesia memasuki 2022 semakin kuat. #NKRIPastiPulih https://t.co/vkqRzPsyAg"
87,@sutanmangarahrp Karena para cukong kebanyakan investasi di media.ini yg susah...
88,Jaman skrg kudu pinter2 sama hal berbau investasi
89,"@ohmybeautybank sama banget lagiii&lt;\3 tp gapapa nder. mikirin outfit gabakal ada abisnya, soalnya adaada aja yang menarik🥲 mending duidnya dipake buat yang lebih prioritas, pake nabung buat investasi masa depan"
90,"@Endriyw Sebenenya konsep sedekah yg Allah balas berlipat ganda itu bener ko. Jgn pake itungan manusia. Misal ngasih 10rb nnt Allah balas 100rb. Ya ga gt. Bs dibalas dgn kesehatan. Ketenangan. Kecukupan. Keluarga rukun. Niat sedekah krn Allah aja. Bkn buat ""investasi"""
91,"@Msbrow8 Haram?

Investasi nya uang Bank, to?
Nah lho..

#ngapusi"
92,@ach_januar jajal wong tuwo mu kon investasi saham opo crypto 😂
93,Tips Investasi Emas Bagi Pemula https://t.co/8fgAEgVluS
94,"Persiapkan tabungan pensiun untuk kesejahteraan hari tua. Mulai investasi reksadana dengan Bibit dan dapatkan cashback Rp25.000 setelah mendaftar dengan memasukkan kode referral Bibit: investnow

Download sekarang: https://t.co/tuuiKVMuet
34399
https://t.co/a4VRKmEGXk"
95,"Ayo berinvestasi sekarang juga untuk masa depan sejahtera. Mulai investasi reksadana di Bibit dan dapatkan cashback Rp25.000 setelah mendaftar dengan memasukkan kode referral Bibit: investnow

Download sekarang: https://t.co/73aGdqQy92
2583
https://t.co/7qPEls4s1r"
96,"@MAJALAH_GATRA Lagi-lagi, masyarakat yang salah yg berinvestasi, tapi yang disalahin pemerintah. Ya yang goblok, orang2 yg ikut investasi. Gampang percaya.

Kayaknya pemerintah tidak harus menangkap pelaku investasi bodong. Harusnya memberi edukasi kepada masyarakat ttg investasi."
97,"@Conspirare_JKT @bola_abis Contoh investasi,  Usman bin Affan nder. Tanah produktif dan sumur wakaf. Tanah produktif ini dari segi pajak kecil daripada sudah berbentuk bangunan."
98,"@gembong_warsono Formula E pengeluaran pemborosan 😟 investasi yg tak banyak di luar, seharus nya Formula 1 yg lebih populer 🙂"
99,apakah investasi saham termasuk riba
100,"Yusuf Mansur: ""Titip sedekah kepada saya, nanti Allah gandain.
Kalau Allah nggak gandain, tetap aman"". Tetep aja Investasi bodong kalau gini mah. https://t.co/uqsPPVgB40"
101,Investasi neng deso yo tuku sawah karo nandur wit jati
102,"Kini anda dpt mewujudkan semua yg pernah anda impikan: Pendidikan, Renovasi Rumah, Pernikahan, Investasi Usaha &amp; Kebutuhan Finansial lainnya"
103,Investasi bodong berkedok akhirat https://t.co/Cg4ItiyKNO
104,Ada pemuka agama yg jadi pom pom investasi saham aja udh aneh 😌 mana yg di pom pom emiten bank konven pula https://t.co/w4Iy8nzBY0
105,"@aioiau jadi dia itu ustadz yang sering mengelu elu kan ttg sedekah, tp dia sebenernya ""pencuri"" harta org, dia ada bisnis namanya paytren disuruh investasi biar dapet income, udh banyak yg join dan invest berjuta juta tp gaada hasil ☺ kasian korbannya orang tua semua"
106,"@Arezafn1994 @fitria89_8 @BJimbung @AlionelMessi_ Intinya mas, kalau masnya pengen tahu pemain yg dilepas dipersebaya itu kenapa, cek di chanel persebaya oficial, disitu sudah dijelaskan sama aji dan presiden azrul, yg dimana persebaya konsentrasi terjun ke bursa investasi/ IPO. Diklub indonesia yg sudah IPO itu baru bali untd."
107,"@MAJALAH_GATRA Jualan investasi bodong, mlm, apa jualan agama?"
108,@azukivision wkeekkekekek asliii... abis buat ke anak sih kalo aku. smoga gak investasi bodong nie 🤪
109,biasanya penyidikan yang cepat penyidiknya harus punya otak yg ngerti investasi harus paham betulbitu investasi apa. Sayangnya yang penyidikan yang cepet cuma terkait bokep. https://t.co/WZwkhXnJTE
110,"Mau Invest  #KulinerBDG mulai dari 25 Juta/Saham? dpt bagi hasil 500ribu/bulan, Info: 0812-2269-0766 atau klik https://t.co/w4DSWgTBh2 … Join.!"
111,@jemibrownies @WagimanDeep212_ Ngapain jg ngurusin orang lain.. Lebih baik urus diri sendiri jha dulu.. Sudah jadi Orang tua yg baik gk.. manfaat untuk sekeliling gk.. Saya jg gk tertarik investasi.. 😁
112,@bola_abis Udah paling aman investasi ya kekotak amal.
113,"Ucup mancur gate, udah gemes beud gw ama ini orang, alhamdulillah keluarga gw masih mau dengerin omongan gw dulu ga usah ikut2an  investasi bodong  dia. https://t.co/UanUGW5G9d"
114,kalo belum kenal-kenal banget sama seseorang jangan suka langsung investasi perasaan pol-polan. kuartir nanti jatuhnya investasi bodong.
115,@harut0niq5 Yoi semacam investasi :)
116,KADIN ajak Panama investasi di Indonesia https://t.co/b4QgmFWgX9
117,"Menteri BUMN @erickthohir siap jalankan misi investasi di Papua Nugini sesuai arahan presiden Jokowi dengan PM Papua Nugini.
https://t.co/JrkcqhQYGu
#ErickThohirSolusiRakyat https://t.co/NdDtGZgY5M"
118,"Persiapkan dana darurat untuk kejadian tak terduga. Mulai investasi reksadana dengan Bibit dan dapatkan cashback Rp25.000 setelah mendaftar dengan memasukkan kode referral Bibit: investnow

Download sekarang: https://t.co/tuuiKVMuet
13624
https://t.co/OcgvhRegbO"
119,"@SumitroYoel Saya sih klo ada duit banyak mending buat modal buka usaha, ketimbang investasi di dunia maya....😁😁."
120,@Msbrow8 Investasi bodong pak.yang untung  bukan rakyat.
121,"@MAJALAH_GATRA Sebenarnya investasi itu ada 2 kemungkinan gagal atau berhasil. Hanya saja masyarakat kita blm bisa menerima kegagalan, siapa sih yg mau rugi pasti inginnya untung. Harusnya setiap pemilik investasi juga harus menjelaskan kemungkinan rugi ga hanya menjelaskan keuntungannya saja."
122,@ibstraw_ Investasi disini bisa dapat moksa wkwkw kalo sebelah kan dapet surga 7 bidadari hehe
123,Pasangan yang gagal ternyata ibarat investasi bodong.
124,@AnggerBayu @mazzini_gsp Sebenernya banyak sih Yg nuntut dr tahun 2013 an. Dr masalah perdata sampai masalah investasi nya. Tp sejak merapat ke kolam ga ada tuntutan yg jd besar. Ga tau sekarang kenapa jd rame lagi. Atau mungkin Krn kolam mau dikuras ke semua panik menyelamatkan diri sendiri https://t.co/XrZraM732T
125,"@kallovesta Investasi perasaan wkwkwk
Iya bener, aku jg skrg gini. Jd casual listener jalur spotipai alias tau lagu2 baru dr spotipai tp g pernah tau yg nyanyi siapa grupnya apa wkwk"
126,"@irtikcantik @Endriyw Klo yg jd masalah/dituntut ini hotel di Indo mba. Lupa ak lokasinya mna. Hitam di ats putihnya sepertinya ada, krn ada tnda bukti penyerahan uangnya. Klo larinya uang sedekah aku gk tau mbak. Tp yg investasi itu emang ada program invs YM nmanya ptungan usaha, slh stunya bkn hotel"
127,@Endriyw Konsep sedekah = investasi aja udah aneh njir
128,@ibstraw_ Di hindu ade keto ye nah? Hmm onden tepuk ade investasi berkedok agama hindu 🤣
129,"@mazzini_gsp gw pas denger konsep investasi dia yg pale sistem sedekah aja udah ragu, ngajak orang sedekah bikin hotel di Mekah buat nanti orang indo klo pada pergi haji atau umroh tapi tu hotel ga gratis buat orang yg mau nginep. kt gw lah itu untungnya dibagi ke siapa!?"
130,"sesama asia saling bantu.. ikrib.

sedang menunggu saudi angkat kaki dari semua investasi dia di eropa amerikiyah, sepakbola f1 tech dll. semoga. aamiin. xD https://t.co/SyfFiiCjkv"
131,"Membuat Jepang mempunyai cadangan untuk bisa membayar hutang, investasi luar di Jepang bahkan melebihi jumlah hutang, bahkan melebihi 225 PDB
3. Nilai Tukar yg diperdagangkan
Yen adalah mata uang yg bisa diperdagangkan, bahkan melebihi jumlah hutang dan bunga, sementara indonesia"
132,"Yang katanya 225% dari PDB, ternyata memiliki hampir 387% PDB piutang negaranya, Jepang bahkan selalu menyalur pinjaman ke negara lain khususnya vietnam untuk pembangunan pertanian, sementara indonesia berapa piutangnya saja tak jelas
2. Investasi luar
Banyaknya produk assembling"
133,"i mean, investasi—in any kind ya, emang harus di pikirin mateng-mateng. apa lagi bentuknya joint development which udh pasti masih abu2, beda sm kalo lo mo invest ke perusahaan yg udh masuk pasar saham.

yg harus analisis justru lebi banyak, kaya calon marketnya beneran ada gak"
134,"((gurunya anakmu parkour))

gpp mbak gurunya cuma parkour bukan bikin investasi bodong..... https://t.co/hUqwydOjJ9"
135,Penerapan gaya hidup islami di bidang keuangan dapat diawali dengan disiplin menyisihkan sebagian penghasilan untuk membayar zakat &amp; sedekah. Selain itu kita juga perlu menyisihkan sebagian pendapatan kita pd berbagai instrumen investasi syariah untuk persiapan di masa mendatang. https://t.co/sPrK3LwQkv
136,"@_1mUnknown__ @P_ysf Pakar odong-odong, aktipis dan akademisi bodong, nggak ada yg menyebut gerakan mereka mengkhianati konstitusi....krn mereka mau mendirikan negara bodong seperti juga judi yg berkedok trading atau investasi....."
137,@Yusuf_Mansur Pebisnis sekaligus penceramah Yusuf Mansur akhirnya digugat para korban investasi macetnya ke pengadilan. Pihak yang dirugikan sudah mencapai ribuan orang dan bersiap menggugat. Pemerintah dianggap melakukan pembiaran dan lambat merespons fenomena ini. https://t.co/mb8oqTT2y6
138,"@amxvier_ iyo cak bener, kudu investasi sing bener"
139,@Jjupocky Betul.. brasa blm kelar sma masa lalu tp maksain nerima yg baru. Mau jd casual stan aja menclok2 sana sini ga mau trlalu investasi perasaan hehe 😀
140,"@daffa707 @EisforEby @Conspirare_JKT @bola_abis Just info, Investasi logam mulia sekarang bisa secara online gan, misal BSI menyediakannya dalam apk mbankingnya yaitu emas, kita bisa beli min 100rb (kalo ngga salah) dan bisa di jual/ di cairkan dalam bentuk emas real."
141,"@kilipri @MafiaWasit namanya saja judi bang sudah tau resiko nya,   50% 50%, kalau menang ya dapat cuan, kalah ya jatuh miskin, beda sama treding bisanya menyimpan uang kaya investasi, ini mah yang ada malah ketipu"
142,@EisforEby @Conspirare_JKT @bola_abis Itu kan buat orang yang pengeluarannya selalu ada sisa. Ya opsional sih investasi itu.
143,"@hansohaj @Endriyw Ooh gitu. Kayaknya pernah denger yg bikin hotel di Mekah gitu tapi gatau ding, cuma slentingan doang.
Itu berarti ada hitam di atas putihnya ya?
Aku masih bingung si, sebenernya sedekah yg dimaksud tu konsepnya gmn. Investasi ke uym = sedekah itu sedekahinnya ke mana."
144,@Yusuf_Mansur Pebisnis sekaligus penceramah Yusuf Mansur akhirnya digugat para korban investasi macetnya ke pengadilan. Pihak yang dirugikan sudah mencapai ribuan orang dan bersiap menggugat. Pemerintah dianggap melakukan pembiaran dan lambat merespons fenomena ini. https://t.co/mb8oqTT2y6
145,kehidupan memang adalah petualangan yang menantang  https://t.co/swSfmoe83M
146,"@Endriyw Waktu 2019 si YM cepet cepet bermanuver merapat ke circle ""ring 1 istana"" Alias nyari bekingan. Alhasil sekarang udah banyak korban investasi bodong yg laporin beliau tetep aja tuh ga diproses https://t.co/tEaOwaeDir"
147,Atas nama investasi bukan hobi hihi
148,Kok bisa lolos ga ditangkep ya? Ini dh termasuk investasi bodong deh kl kek gini https://t.co/p2CUxqX1T9
149,"Ini sedekah gak bisa disamaain sama investasi, istilah sedekah 1 dibales berkali2 lipat itu balesannya bukan cuma duit tapi yaa semuanya Allah kasih sehat, kemudahan, pahala. Kalo emg islam coba belajar lagi PAI dari SD, dan gw yakin agama apapun jg ngajarin soal sedekah https://t.co/RAuUhCoSIu"
150,@ajaib_investasi ini kenapa portofolio ue tiba-tiba ilang yaaa
151,"@irtikcantik @Endriyw Setauku yg di vidio ibu"" nangis itu korban investasi hotel. Katanya 'patungan usaha' YM bikin hotel. Dijanjiin tiap bulan dpt income, nginep di hotel free brpa kali dan berapa tahun modalnya akan dibalikin. Klo gk salah gt wktu liat yt. Dan buanyak korbannya"
152,@debapirez @EisforEby @pemantautemlen1 @adillahendi @knupisback @Conspirare_JKT @bola_abis kalian gatau kalo ada investasi aman bersama ust yusuf mansur?
153,"@nairkivm @Sam_Ardi @Yusuf_Mansur Dulu, sempat pernah suudhon dgn beliau, setelah rame video² miring ttg korban² investasi beliau. Namun, berubah, bgtu Liat video klarifikasi Dan juga Liat video Di acara Di Hotman Paris Show..
Semoga dimudahkan jalan perjuangan ust @Yusuf_Mansur"
154,@sisainy @MAJALAH_GATRA ni maksudnya anaknya aja suruh bayar ganti rugi investasi bapaknya y
